Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,smith-wesson-schofield-1875-replica-revolver,,,,,,,,SW-SCH-1875-WAL,8901234567900,,Walnut Wood,,,,,,,,199.99,249.99,90.00,TRUE,,,,,,shopify,24,DENY,1350,g,TRUE,manual,,2,Smith & Wesson Schofield 1875 Replica with Walnut grips,,,,,,,,,SW-SCH-1875-WAL,,,,,,,,,
,smith-wesson-schofield-1875-replica-revolver,,,,,,,,SW-SCH-1875-STG,8901234567901,,Staghorn,,,,,,,,239.99,289.99,110.00,TRUE,,,,,,shopify,10,DENY,1350,g,TRUE,manual,,3,Smith & Wesson Schofield 1875 Replica with Staghorn grips,,,,,,,,,SW-SCH-1875-STG,,,,,,,,,
Henry Repeating Rifle 1860 Replica,henry-repeating-rifle-1860-replica,"Witness the rifle that changed warfare with this Henry Repeating Rifle 1860 Replica. This non-firing replica faithfully reproduces the revolutionary lever-action repeater that gave Union soldiers a significant advantage. Features include brass receiver, functional lever action, and octagonal barrel. Full 43-inch length with authentic Civil War era details.",Frontier Armory Co,Toys & Games > Toys > Play Vehicles > Toy Weapons,Replica Firearm,"Civil War, Replica, Henry, 1860, Lever Action, Rifle, Brass Receiver, Historical",TRUE,Active,HNR-1860-BRS,8901234567902,Style,Standard Brass,,,,,,,,399.99,479.99,185.00,TRUE,,,,,,shopify,12,DENY,3500,g,TRUE,manual,https://burst.shopifycdn.com/photos/brass-receiver-rifle-antique.jpg?width=1000,1,Henry Repeating Rifle 1860 Replica with Brass Receiver,,FALSE,Henry Repeating Rifle 1860 Replica - Revolutionary Civil War Lever Action,"Authentic Henry 1860 repeating rifle replica. Non-firing lever action with brass receiver. Full-scale Civil War era reproduction for collectors.",gold,Toys & Games > Toys > Pretend Play > Dress-Up > Costume Weapon & Armor Accessories,Unisex,Adult (13+ years old),HNR-1860-BRS,Western Replicas,Collectibles,New,FALSE,Premium,Civil War,Rifle,,
,henry-repeating-rifle-1860-replica,,,,,,,,HNR-1860-MLT,8901234567903,,Military Issue,,,,,,,,429.99,509.99,200.00,TRUE,,,,,,shopify,8,DENY,3500,g,TRUE,manual,,2,Henry Repeating Rifle 1860 Military Issue Replica,,,,,,,,,HNR-1860-MLT,,,,,,,,,
Derringer Philadelphia 1850 Replica Pistol,derringer-philadelphia-1850-replica-pistol,"Conceal your secrets with this elegant Derringer Philadelphia 1850 Replica Pistol. This non-firing pocket pistol replica captures the compact elegance of the famous hideaway gun. Features include ornate engraving, genuine wood grips, and period-accurate single-shot design. Compact 5-inch size perfect for display or costume accessories.",Frontier Armory Co,Toys & Games > Toys > Play Vehicles > Toy Weapons,Replica Firearm,"Western, Replica, Derringer, Pocket Pistol, 1850, Compact, Collectible, Hideaway",TRUE,Active,DER-1850-GLD,8901234567904,Finish,Gold Plated,,,,,,,,89.99,109.99,40.00,TRUE,,,,,,shopify,45,DENY,250,g,TRUE,manual,https://burst.shopifycdn.com/photos/small-antique-pistol.jpg?width=1000,1,Derringer Philadelphia 1850 Replica in Gold Plated finish,,FALSE,Derringer Philadelphia 1850 Replica - Classic Pocket Pistol Collectible,"Authentic Derringer Philadelphia 1850 replica pistol. Non-firing compact pocket pistol with ornate engraving. Perfect for collectors and costume accessories.",gold,Toys & Games > Toys > Pretend Play > Dress-Up > Costume Weapon & Armor Accessories,Unisex,Adult (13+ years old),DER-1850-GLD,Western Replicas,Collectibles,New,FALSE,Compact,Western,Pistol,,
,derringer-philadelphia-1850-replica-pistol,,,,,,,,DER-1850-SLV,8901234567905,,Silver Plated,,,,,,,,89.99,109.99,40.00,TRUE,,,,,,shopify,38,DENY,250,g,TRUE,manual,,2,Derringer Philadelphia 1850 Replica in Silver Plated finish,,,,,,,,,DER-1850-SLV,,,,,,,,,
,derringer-philadelphia-1850-replica-pistol,,,,,,,,DER-1850-BLK,8901234567906,,Gunmetal Black,,,,,,,,79.99,99.99,35.00,TRUE,,,,,,shopify,52,DENY,250,g,TRUE,manual,,3,Derringer Philadelphia 1850 Replica in Gunmetal Black finish,,,,,,,,,DER-1850-BLK,,,,,,,,,
Sharps 1874 Buffalo Rifle Replica,sharps-1874-buffalo-rifle-replica,"Hunt the plains with this magnificent Sharps 1874 Buffalo Rifle Replica. This non-firing replica recreates the legendary long-range rifle used by buffalo hunters and sharpshooters. Features include falling block action display, double-set triggers, and checkered walnut stock. Full 48-inch length with adjustable ladder sight replica.",Frontier Armory Co,Toys & Games > Toys > Play Vehicles > Toy Weapons,Replica Firearm,"Western, Replica, Sharps, 1874, Buffalo Rifle, Long Range, Sharpshooter, Collectible",TRUE,Active,SHP-1874-STD,8901234567907,Configuration,Standard Hunter,,,,,,,,449.99,549.99,210.00,TRUE,,,,,,shopify,10,DENY,4200,g,TRUE,manual,https://burst.shopifycdn.com/photos/long-rifle-wooden-stock.jpg?width=1000,1,Sharps 1874 Buffalo Rifle Replica Standard Hunter,,FALSE,Sharps 1874 Buffalo Rifle Replica - Legendary Long-Range Western Rifle,"Authentic Sharps 1874 buffalo rifle replica. Non-firing falling block action with checkered walnut stock. Perfect for serious western collectors.",brown,Toys & Games > Toys > Pretend Play > Dress-Up > Costume Weapon & Armor Accessories,Unisex,Adult (13+ years old),SHP-1874-STD,Western Replicas,Collectibles,New,FALSE,Premium,Western,Rifle,,
,sharps-1874-buffalo-rifle-replica,,,,,,,,SHP-1874-QGL,8901234567908,,Quigley Deluxe,,,,,,,,549.99,649.99,260.00,TRUE,,,,,,shopify,6,DENY,4200,g,TRUE,manual,,2,Sharps 1874 Buffalo Rifle Quigley Deluxe Replica,,,,,,,,,SHP-1874-QGL,,,,,,,,,
Western Gun Belt and Holster Set,western-gun-belt-and-holster-set,"Complete your western look with this authentic Western Gun Belt and Holster Set. Crafted from genuine top-grain leather, this set features a double-stitched cartridge belt with 24 bullet loops, quick-draw holster, and solid brass buckle. Fits most replica revolvers. Available in multiple sizes for the perfect frontier fit.",Frontier Armory Co,Apparel & Accessories > Costume Accessories,Leather Accessory,"Western, Holster, Gun Belt, Leather, Cowboy, Costume, Accessory, Quick Draw",TRUE,Active,WGB-SET-S-BRN,8901234567909,Size,Small (28-32),,Color,Brown,product.metafields.shopify.color-pattern,,,,129.99,159.99,55.00,TRUE,,,,,,shopify,35,DENY,680,g,TRUE,manual,https://burst.shopifycdn.com/photos/leather-western-holster-belt.jpg?width=1000,1,Western Gun Belt and Holster Set in Brown - Small,,FALSE,Western Gun Belt and Holster Set - Genuine Leather Quick Draw Rig,"Authentic western gun belt and holster set. Genuine leather with cartridge loops and brass buckle. Perfect for costumes and western reenactments.",brown; black; tan,Apparel & Accessories > Costumes & Accessories > Costume Accessories,Unisex,Adult (13+ years old),WGB-SET-S-BRN,Western Accessories,Leather Goods,New,FALSE,Popular,Western,Accessory,,
,western-gun-belt-and-holster-set,,,,,,,,WGB-SET-M-BRN,8901234567910,,Medium (32-36),,,Brown,,,,,129.99,159.99,55.00,TRUE,,,,,,shopify,42,DENY,720,g,TRUE,manual,,2,Western Gun Belt and Holster Set in Brown - Medium,,,,,,,,,WGB-SET-M-BRN,,,,,,,,,
,western-gun-belt-and-holster-set,,,,,,,,WGB-SET-L-BRN,8901234567911,,Large (36-40),,,Brown,,,,,129.99,159.99,55.00,TRUE,,,,,,shopify,38,DENY,760,g,TRUE,manual,,3,Western Gun Belt and Holster Set in Brown - Large,,,,,,,,,WGB-SET-L-BRN,,,,,,,,,
,western-gun-belt-and-holster-set,,,,,,,,WGB-SET-S-BLK,8901234567912,,Small (28-32),,,Black,,,,,129.99,159.99,55.00,TRUE,,,,,,shopify,28,DENY,680,g,TRUE,manual,,4,Western Gun Belt and Holster Set in Black - Small,,,,,,,,,WGB-SET-S-BLK,,,,,,,,,
,western-gun-belt-and-holster-set,,,,,,,,WGB-SET-M-BLK,8901234567913,,Medium (32-36),,,Black,,,,,129.99,159.99,55.00,TRUE,,,,,,shopify,45,DENY,720,g,TRUE,manual,,5,Western Gun Belt and Holster Set in Black - Medium,,,,,,,,,WGB-SET-M-BLK,,,,,,,,,
,western-gun-belt-and-holster-set,,,,,,,,WGB-SET-L-BLK,8901234567914,,Large (36-40),,,Black,,,,,129.99,159.99,55.00,TRUE,,,,,,shopify,32,DENY,760,g,TRUE,manual,,6,Western Gun Belt and Holster Set in Black - Large,,,,,,,,,WGB-SET-L-BLK,,,,,,,,,
,western-gun-belt-and-holster-set,,,,,,,,WGB-SET-S-TAN,8901234567915,,Small (28-32),,,Natural Tan,,,,,139.99,169.99,60.00,TRUE,,,,,,shopify,20,DENY,680,g,TRUE,manual,,7,Western Gun Belt and Holster Set in Natural Tan - Small,,,,,,,,,WGB-SET-S-TAN,,,,,,,,,
,western-gun-belt-and-holster-set,,,,,,,,WGB-SET-M-TAN,8901234567916,,Medium (32-36),,,Natural Tan,,,,,139.99,169.99,60.00,TRUE,,,,,,shopify,25,DENY,720,g,TRUE,manual,,8,Western Gun Belt and Holster Set in Natural Tan - Medium,,,,,,,,,WGB-SET-M-TAN,,,,,,,,,
,western-gun-belt-and-holster-set,,,,,,,,WGB-SET-L-TAN,8901234567917,,Large (36-40),,,Natural Tan,,,,,139.99,169.99,60.00,TRUE,,,,,,shopify,18,DENY,760,g,TRUE,manual,,9,Western Gun Belt and Holster Set in Natural Tan - Large,,,,,,,,,WGB-SET-L-TAN,,,,,,,,,
Colt Navy 1851 Replica Revolver,colt-navy-1851-replica-revolver,"Sail into history with the Colt Navy 1851 Replica Revolver. This non-firing replica honors the percussion revolver carried by Civil War officers, Texas Rangers, and Wild Bill Hickok himself. Features include authentic naval battle scene engraving on cylinder, brass trigger guard, and one-piece walnut grip. Museum-quality reproduction with display stand.",Frontier Armory Co,Toys & Games > Toys > Play Vehicles > Toy Weapons,Replica Firearm,"Civil War, Replica, Colt Navy, 1851, Revolver, Wild Bill, Texas Rangers, Historical",TRUE,Active,CNAV-1851-STL,8901234567918,Finish,Blued Steel,,,,,,,,179.99,219.99,80.00,TRUE,,,,,,shopify,28,DENY,1050,g,TRUE,manual,https://burst.shopifycdn.com/photos/civil-war-revolver-engraved.jpg?width=1000,1,Colt Navy 1851 Replica Revolver in Blued Steel,,FALSE,Colt Navy 1851 Replica Revolver - Civil War Era Collectible with Naval Scene,"Authentic Colt Navy 1851 replica revolver. Non-firing with engraved naval battle scene cylinder. Museum-quality Civil War reproduction.",black; silver,Toys & Games > Toys > Pretend Play > Dress-Up > Costume Weapon & Armor Accessories,Unisex,Adult (13+ years old),CNAV-1851-STL,Western Replicas,Collectibles,New,FALSE,Historical,Civil War,Revolver,,
,colt-navy-1851-replica-revolver,,,,,,,,CNAV-1851-BRS,8901234567919,,Antiqued Brass,,,,,,,,189.99,229.99,85.00,TRUE,,,,,,shopify,22,DENY,1050,g,TRUE,manual,,2,Colt Navy 1851 Replica Revolver in Antiqued Brass,,,,,,,,,CNAV-1851-BRS,,,,,,,,,
,colt-navy-1851-replica-revolver,,,,,,,,CNAV-1851-GLD,8901234567920,,Gold & Silver,,,,,,,,219.99,269.99,100.00,TRUE,,,,,,shopify,15,DENY,1050,g,TRUE,manual,,3,Colt Navy 1851 Replica Revolver in Gold and Silver finish,,,,,,,,,CNAV-1851-GLD,,,,,,,,,
